# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
2.993295036E1,5.156250000E2
2.997561702E1,5.625000000E2
3.001828369E1,4.687500000E1
3.006095036E1,4.687500000E1
3.010361702E1,4.687500000E1
3.014628369E1,4.687500000E1
3.018895036E1,3.281250000E2
3.023161702E1,4.687500000E1
3.027428369E1,2.343750000E1
3.031695036E1,2.343750000E1
3.035961702E1,4.218750000E2
3.040228369E1,2.343750000E1
3.044495036E1,4.453125000E2
3.048761702E1,4.687500000E1
3.053028369E1,1.406250000E2
3.057295036E1,3.984375000E2
3.061561702E1,2.812500000E2
3.065828369E1,8.906250000E2
3.070095036E1,4.687500000E1
3.074361702E1,4.453125000E2
3.078628369E1,1.406250000E2
3.082895036E1,2.343750000E1
3.087161702E1,2.343750000E1
3.091428369E1,2.343750000E1
3.095695036E1,4.687500000E1
3.099961702E1,2.343750000E1
3.104228369E1,2.343750000E1
3.108495036E1,2.343750000E1
3.112761702E1,2.343750000E1
3.117028369E1,2.343750000E1
3.121295036E1,2.343750000E1
3.125561702E1,2.343750000E1
3.129828369E1,2.343750000E1
3.134095036E1,4.687500000E1
3.138361702E1,4.687500000E1
3.142628369E1,4.687500000E1
3.146895036E1,2.578125000E2
3.151161702E1,2.343750000E1
3.155428369E1,2.343750000E1
3.159695036E1,2.343750000E1
3.163961702E1,2.343750000E1
3.168228369E1,2.343750000E1
3.172495036E1,3.046875000E2
3.176761702E1,3.281250000E2
3.181028369E1,4.687500000E1
3.185295036E1,4.453125000E2
3.189561702E1,2.343750000E1
3.193828369E1,4.687500000E1
3.198095036E1,4.687500000E1
3.202361702E1,4.687500000E1
3.206628369E1,1.640625000E2
3.210895036E1,2.953125000E3
3.215161702E1,2.578125000E2
3.219428369E1,4.687500000E1
3.223695036E1,4.687500000E1
3.227961702E1,4.687500000E1
3.232228369E1,2.343750000E1
3.236495036E1,4.687500000E1
3.240761702E1,3.984375000E2
3.245028369E1,4.687500000E1
3.249295036E1,4.687500000E1
3.253561702E1,2.343750000E1
3.257828369E1,1.171875000E2
3.262095036E1,2.343750000E1
3.266361702E1,2.109375000E2
3.270628369E1,4.687500000E1
3.274895036E1,9.375000000E1
3.279161702E1,2.578125000E2
3.283428369E1,4.687500000E1
3.287695036E1,4.687500000E1
3.291961702E1,6.093750000E2
3.296228369E1,4.687500000E1
3.300495036E1,4.687500000E1
3.304761702E1,5.625000000E2
3.309028369E1,4.687500000E1
3.313295036E1,4.453125000E2
3.317561702E1,4.218750000E2
3.321828369E1,4.453125000E2
3.326095036E1,4.687500000E2
3.330361702E1,4.687500000E2
