# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.814062500E4,2.733482988E-2
1.816406250E4,3.059331909E-2
1.818750000E4,2.407451661E-2
1.821093750E4,2.222106606E-2
1.823437500E4,2.544070107E-2
1.825781250E4,3.435095840E-2
1.828125000E4,1.817904650E-2
1.830468750E4,1.747058638E-2
1.832812500E4,3.005518274E-2
1.835156250E4,1.929909815E-2
1.837500000E4,2.795286426E-2
1.839843750E4,2.943558410E-2
1.842187500E4,2.745037820E-2
1.844531250E4,9.486089993E-3
1.846875000E4,2.085423806E-2
1.849218750E4,1.063649577E-2
1.851562500E4,1.815613937E-2
1.853906250E4,1.445063413E-2
1.856250000E4,2.903416548E-2
1.858593750E4,1.920207100E-2
1.860937500E4,1.755797472E-2
1.863281250E4,1.185567412E-2
1.865625000E4,3.068557132E-2
1.867968750E4,2.674495415E-2
1.870312500E4,7.941367251E-3
1.872656250E4,2.392008476E-2
1.875000000E4,1.936426266E-2
1.877343750E4,2.072370934E-2
1.879687500E4,2.107663511E-2
1.882031250E4,1.960072860E-2
1.884375000E4,4.461692462E-2
1.886718750E4,1.972511662E-2
1.889062500E4,2.462213390E-2
1.891406250E4,1.977043313E-2
1.893750000E4,1.529790459E-2
