"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.700771000E-1,7.577420303E-1,3.189680576E-1,-6.651206315E-2,-5.653870702E-1,8.146891480E1,3.534353126E1,1.506311157E1,-6.863265451E1
8.750771000E-1,7.576202502E-1,3.224785030E-1,-6.492269039E-2,-5.637412667E-1,8.149029764E1,3.564057218E1,1.537975167E1,-6.833479885E1
8.800771000E-1,7.575352670E-1,3.255468905E-1,-6.335678697E-2,-5.622681379E-1,8.150521674E1,3.589229850E1,1.567017508E1,-6.806432529E1
8.850771000E-1,7.574824676E-1,3.280887604E-1,-6.189566106E-2,-5.610231757E-1,8.151448470E1,3.609305285E1,1.592393997E1,-6.783204157E1
8.900771000E-1,7.574412277E-1,3.300900757E-1,-6.059031561E-2,-5.600465536E-1,8.152172303E1,3.624290669E1,1.613755906E1,-6.764526704E1
8.950771000E-1,7.573799788E-1,3.315748572E-1,-5.947300792E-2,-5.593716502E-1,8.153247227E1,3.634500635E1,1.631152810E1,-6.750951970E1
9.000771000E-1,7.572858222E-1,3.325908780E-1,-5.857760832E-2,-5.589902997E-1,8.154899459E1,3.640599486E1,1.644591709E1,-6.742431437E1
9.050771000E-1,7.571514723E-1,3.332655430E-1,-5.788961798E-2,-5.588421226E-1,8.157256512E1,3.643920408E1,1.654828236E1,-6.737988184E1
9.100771000E-1,7.569844289E-1,3.337174654E-1,-5.737407133E-2,-5.588518977E-1,8.160186361E1,3.645628658E1,1.662668822E1,-6.736386416E1
9.150771000E-1,7.567869289E-1,3.340513408E-1,-5.698018521E-2,-5.589601994E-1,8.163649284E1,3.646631724E1,1.669034367E1,-6.736577330E1
9.200771000E-1,7.565658300E-1,3.343288302E-1,-5.667808652E-2,-5.591242909E-1,8.167524548E1,3.647480663E1,1.674431970E1,-6.737834740E1
9.250771000E-1,7.563233494E-1,3.346127272E-1,-5.643772706E-2,-5.593068004E-1,8.171772831E1,3.648730535E1,1.679402759E1,-6.739504778E1
9.300771000E-1,7.560532829E-1,3.349325955E-1,-5.623963475E-2,-5.595003963E-1,8.176502280E1,3.650592734E1,1.684296068E1,-6.741408307E1
9.350771000E-1,7.557386174E-1,3.353121281E-1,-5.607198924E-2,-5.597149730E-1,8.182009912E1,3.653230388E1,1.689429386E1,-6.743631376E1
9.400771000E-1,7.553742804E-1,3.357351422E-1,-5.595229939E-2,-5.599651337E-1,8.188383136E1,3.656548668E1,1.694598879E1,-6.746437161E1
9.450771000E-1,7.549506346E-1,3.361859024E-1,-5.589235574E-2,-5.602719188E-1,8.195788697E1,3.660411094E1,1.699684842E1,-6.750164047E1
9.500771000E-1,7.544655683E-1,3.366427720E-1,-5.592445284E-2,-5.606476665E-1,8.204261160E1,3.664756313E1,1.704302996E1,-6.755088092E1
9.550771000E-1,7.539280106E-1,3.370757401E-1,-5.607167259E-2,-5.610957742E-1,8.213642068E1,3.669396148E1,1.708053136E1,-6.761344906E1
9.600771000E-1,7.533533850E-1,3.374674916E-1,-5.635031313E-2,-5.616039634E-1,8.223660111E1,3.674267258E1,1.710614084E1,-6.768822811E1
