# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
2.209682544E2,5.156250000E2
2.210109210E2,5.156250000E2
2.210535877E2,4.687500000E1
2.210962544E2,3.750000000E2
2.211389210E2,7.031250000E1
2.211815877E2,4.218750000E2
2.212242544E2,4.687500000E1
2.212669210E2,4.453125000E2
2.213095877E2,2.812500000E2
2.213522544E2,2.812500000E2
2.213949210E2,3.515625000E2
2.214375877E2,8.203125000E2
2.214802544E2,4.453125000E2
2.215229210E2,2.250000000E3
2.215655877E2,4.921875000E2
2.216082544E2,4.687500000E2
2.216509210E2,4.453125000E2
2.216935877E2,4.218750000E2
2.217362544E2,4.453125000E2
2.217789210E2,4.453125000E2
2.218215877E2,6.093750000E2
2.218642544E2,6.562500000E2
2.219069210E2,6.562500000E2
2.219495877E2,5.390625000E2
2.219922544E2,5.390625000E2
2.220349210E2,5.390625000E2
2.220775877E2,5.390625000E2
2.221202544E2,8.203125000E2
2.221629210E2,3.750000000E2
2.222055877E2,4.687500000E2
2.222482544E2,4.218750000E2
2.222909210E2,4.687500000E2
2.223335877E2,4.687500000E2
2.223762544E2,7.031250000E2
2.224189210E2,7.031250000E2
2.224615877E2,5.625000000E2
2.225042544E2,5.859375000E2
2.225469210E2,8.671875000E2
2.225895877E2,1.078125000E3
2.226322544E2,6.093750000E2
2.226749210E2,1.078125000E3
2.227175877E2,2.343750000E1
2.227602544E2,4.687500000E1
2.228029210E2,4.687500000E1
2.228455877E2,5.625000000E2
2.228882544E2,2.812500000E2
2.229309210E2,6.562500000E2
2.229735877E2,6.328125000E2
2.230162544E2,7.500000000E2
2.230589210E2,7.500000000E2
2.231015877E2,9.375000000E2
2.231442544E2,7.031250000E2
2.231869210E2,5.390625000E2
2.232295877E2,2.343750000E1
2.232722544E2,4.687500000E1
2.233149210E2,4.687500000E2
2.233575877E2,4.687500000E1
2.234002544E2,7.500000000E2
2.234429210E2,4.921875000E2
2.234855877E2,7.500000000E2
2.235282544E2,4.687500000E2
2.235709210E2,8.203125000E2
2.236135877E2,6.562500000E2
2.236562544E2,2.812500000E2
2.236989210E2,4.687500000E1
2.237415877E2,3.515625000E2
2.237842544E2,3.515625000E2
2.238269210E2,6.796875000E2
2.238695877E2,2.812500000E2
2.239122544E2,5.390625000E2
2.239549210E2,4.687500000E2
2.239975877E2,5.625000000E2
2.240402544E2,5.390625000E2
2.240829210E2,5.390625000E2
2.241255877E2,9.140625000E2
2.241682544E2,7.265625000E2
2.242109210E2,1.125000000E3
2.242535877E2,5.625000000E2
2.242962544E2,6.328125000E2
2.243389210E2,4.687500000E2
2.243815877E2,6.093750000E2
2.244242544E2,6.796875000E2
2.244669210E2,6.796875000E2
2.245095877E2,2.367187500E3
2.245522544E2,1.875000000E2
2.245949210E2,2.812500000E2
2.246375877E2,8.203125000E2
2.246802544E2,8.203125000E2
2.247229210E2,3.750000000E2
2.247655877E2,3.750000000E2
2.248082544E2,5.859375000E2
2.248509210E2,5.859375000E2
2.248935877E2,4.687500000E1
2.249362544E2,4.687500000E1
2.249789210E2,4.687500000E2
2.250215877E2,2.343750000E1
2.250642544E2,9.375000000E1
2.251069210E2,7.265625000E2
2.251495877E2,6.796875000E2
2.251922544E2,6.796875000E2
2.252349210E2,5.390625000E2
2.252775877E2,6.796875000E2
2.253202544E2,7.031250000E1
2.253629210E2,6.328125000E2
2.254055877E2,2.812500000E2
2.254482544E2,2.812500000E2
2.254909210E2,3.750000000E2
2.255335877E2,3.750000000E2
2.255762544E2,5.859375000E2
2.256189210E2,5.390625000E2
2.256615877E2,5.390625000E2
2.257042544E2,2.812500000E2
2.257469210E2,5.390625000E2
2.257895877E2,2.343750000E1
2.258322544E2,3.984375000E2
2.258749210E2,3.984375000E2
2.259175877E2,2.812500000E2
2.259602544E2,2.812500000E2
2.260029210E2,2.812500000E2
2.260455877E2,2.812500000E2
2.260882544E2,4.218750000E2
2.261309210E2,7.031250000E2
2.261735877E2,6.328125000E2
2.262162544E2,9.609375000E2
2.262589210E2,6.328125000E2
2.263015877E2,5.156250000E2
2.263442544E2,6.093750000E2
2.263869210E2,6.093750000E2
2.264295877E2,6.093750000E2
2.264722544E2,2.812500000E2
2.265149210E2,2.812500000E2
2.265575877E2,3.281250000E2
2.266002544E2,7.500000000E2
2.266429210E2,2.812500000E2
2.266855877E2,3.750000000E2
2.267282544E2,7.031250000E2
2.267709210E2,1.406250000E2
2.268135877E2,5.390625000E2
2.268562544E2,8.203125000E2
2.268989210E2,1.640625000E2
2.269415877E2,7.968750000E2
2.269842544E2,7.031250000E2
2.270269210E2,3.281250000E2
2.270695877E2,7.031250000E2
2.271122544E2,2.812500000E2
2.271549210E2,5.625000000E2
2.271975877E2,4.687500000E1
2.272402544E2,2.343750000E1
2.272829210E2,6.796875000E2
2.273255877E2,7.031250000E2
2.273682544E2,7.031250000E2
2.274109210E2,7.031250000E2
2.274535877E2,6.796875000E2
2.274962544E2,7.265625000E2
2.275389210E2,6.562500000E2
2.275815877E2,7.734375000E2
2.276242544E2,7.031250000E1
2.276669210E2,2.343750000E2
2.277095877E2,7.031250000E1
2.277522544E2,4.687500000E1
2.277949210E2,4.687500000E2
2.278375877E2,2.812500000E2
2.278802544E2,2.812500000E2
2.279229210E2,2.812500000E2
2.279655877E2,7.031250000E1
2.280082544E2,7.265625000E2
2.280509210E2,6.328125000E2
2.280935877E2,7.734375000E2
2.281362544E2,7.500000000E2
2.281789210E2,4.687500000E2
2.282215877E2,4.687500000E2
2.282642544E2,2.812500000E2
2.283069210E2,6.093750000E2
2.283495877E2,6.093750000E2
2.283922544E2,1.875000000E2
2.284349210E2,9.843750000E2
2.284775877E2,4.218750000E2
2.285202544E2,7.031250000E1
2.285629210E2,3.750000000E2
2.286055877E2,5.625000000E2
2.286482544E2,4.921875000E2
2.286909210E2,5.156250000E2
2.287335877E2,7.500000000E2
2.287762544E2,7.265625000E2
2.288189210E2,4.218750000E2
2.288615877E2,5.156250000E2
2.289042544E2,5.625000000E2
2.289469210E2,5.625000000E2
2.289895877E2,6.328125000E2
2.290322544E2,6.796875000E2
2.290749210E2,2.578125000E2
2.291175877E2,4.921875000E2
2.291602544E2,4.921875000E2
2.292029210E2,6.093750000E2
2.292455877E2,3.984375000E2
2.292882544E2,6.328125000E2
2.293309210E2,4.218750000E2
2.293735877E2,4.218750000E2
2.294162544E2,5.156250000E2
2.294589210E2,4.218750000E2
2.295015877E2,3.515625000E2
2.295442544E2,6.328125000E2
2.295869210E2,6.328125000E2
2.296295877E2,6.328125000E2
2.296722544E2,3.984375000E2
2.297149210E2,7.265625000E2
2.297575877E2,2.578125000E2
2.298002544E2,5.156250000E2
2.298429210E2,2.578125000E2
2.298855877E2,2.578125000E2
2.299282544E2,2.343750000E2
2.299709210E2,2.578125000E2
2.300135877E2,7.734375000E2
2.300562544E2,2.578125000E2
2.300989210E2,4.218750000E2
2.301415877E2,4.687500000E1
2.301842544E2,6.328125000E2
2.302269210E2,4.687500000E1
2.302695877E2,7.500000000E2
2.303122544E2,7.500000000E2
2.303549210E2,6.093750000E2
2.303975877E2,6.093750000E2
2.304402544E2,6.093750000E2
