"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.070353778E2,5.336065466E1,-6.271524930E0,1.925043678E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.080352320E2,5.336065460E1,-6.271524860E0,1.925501452E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.090349520E2,5.336065441E1,-6.271524820E0,1.927204352E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.100350594E2,5.336065439E1,-6.271524680E0,1.928058857E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.110349954E2,5.336065436E1,-6.271524680E0,1.929273459E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.120353748E2,5.336065439E1,-6.271524530E0,1.931678254E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.130351441E2,5.336065449E1,-6.271524360E0,1.932709755E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.140348811E2,5.336065437E1,-6.271524390E0,1.933332320E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.150356196E2,5.336065430E1,-6.271524410E0,1.934137988E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.160354181E2,5.336065423E1,-6.271524390E0,1.934662898E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.170356301E2,5.336065407E1,-6.271524270E0,1.935560138E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.180358763E2,5.336065397E1,-6.271524230E0,1.936475676E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.190357088E2,5.336065390E1,-6.271524260E0,1.937092134E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.200349912E2,5.336065391E1,-6.271524180E0,1.937061623E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.210349179E2,5.336065394E1,-6.271524120E0,1.937299662E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.220356224E2,5.336065394E1,-6.271524080E0,1.937726912E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.230354368E2,5.336065384E1,-6.271524150E0,1.938422715E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.240349663E2,5.336065386E1,-6.271524050E0,1.938642448E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.250349203E2,5.336065386E1,-6.271523980E0,1.938630247E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.260357053E2,5.336065386E1,-6.271523890E0,1.938483770E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
2.270356669E2,5.336065369E1,-6.271523950E0,1.937446181E1,0.000000000E0,NaN,9.935046196E0,2.500000000E0
