# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.380468750E4,3.717352279E-2
1.382812500E4,1.172834992E-2
1.385156250E4,6.280331692E-3
1.387500000E4,4.616228652E-2
1.389843750E4,3.139556086E-2
1.392187500E4,1.662088004E-2
1.394531250E4,1.126553258E-2
1.396875000E4,2.151692135E-2
1.399218750E4,2.653474848E-2
1.401562500E4,2.153155458E-2
1.403906250E4,5.157228809E-3
1.406250000E4,3.648612117E-2
1.408593750E4,3.529593859E-2
1.410937500E4,1.079995897E-2
1.413281250E4,1.763015332E-2
1.415625000E4,3.444658811E-2
1.417968750E4,1.478062496E-2
1.420312500E4,2.462383723E-2
1.422656250E4,1.654742993E-2
1.425000000E4,4.676467556E-2
1.427343750E4,1.609214809E-2
1.429687500E4,2.556817901E-2
1.432031250E4,2.558974302E-2
1.434375000E4,1.950237795E-2
1.436718750E4,9.013887042E-3
1.439062500E4,2.422724684E-2
1.441406250E4,4.918628748E-3
1.443750000E4,8.619899081E-3
1.446093750E4,2.274275110E-2
1.448437500E4,5.896562757E-2
1.450781250E4,9.600407178E-3
1.453125000E4,1.768633770E-2
1.455468750E4,3.425810493E-2
1.457812500E4,2.657511499E-2
1.460156250E4,3.221659660E-2
1.462500000E4,2.233490267E-2
1.464843750E4,3.364504546E-2
1.467187500E4,3.325242409E-2
1.469531250E4,5.308030134E-2
1.471875000E4,2.477944486E-2
1.474218750E4,2.765981903E-2
1.476562500E4,5.654776332E-2
1.478906250E4,5.024274064E-2
1.481250000E4,6.970293486E-2
1.483593750E4,4.605069405E-2
1.485937500E4,3.383624445E-2
1.488281250E4,2.294710745E-2
1.490625000E4,7.533617603E-2
1.492968750E4,7.072425787E-3
1.495312500E4,3.708154997E-2
1.497656250E4,1.161151175E-2
1.500000000E4,5.111641256E-2
1.502343750E4,4.893416987E-2
1.504687500E4,5.973640653E-2
1.507031250E4,7.947268254E-3
1.509375000E4,1.268253410E-2
1.511718750E4,5.833016373E-2
1.514062500E4,7.914487858E-3
1.516406250E4,3.711182068E-2
1.518750000E4,1.410298685E-2
1.521093750E4,5.344641340E-2
1.523437500E4,2.457748150E-2
1.525781250E4,1.098554848E-1
1.528125000E4,6.957282251E-2
1.530468750E4,3.616910148E-2
1.532812500E4,2.834389749E-2
1.535156250E4,5.935559842E-2
1.537500000E4,8.334061435E-2
1.539843750E4,5.891943726E-2
1.542187500E4,5.341004361E-2
1.544531250E4,2.733431494E-2
1.546875000E4,9.457306872E-2
1.549218750E4,3.639802518E-2
1.551562500E4,4.116107121E-2
1.553906250E4,6.278592079E-2
1.556250000E4,2.364389273E-2
1.558593750E4,8.477433258E-2
1.560937500E4,5.572873956E-2
1.563281250E4,3.234897618E-3
1.565625000E4,3.830324554E-2
1.567968750E4,2.122430185E-2
1.570312500E4,4.853814657E-2
1.572656250E4,8.746315046E-2
1.575000000E4,6.284221601E-2
1.577343750E4,4.814782836E-2
1.579687500E4,1.191556134E-2
1.582031250E4,2.491434699E-2
1.584375000E4,8.732545452E-2
1.586718750E4,2.859005429E-2
1.589062500E4,3.475373180E-2
1.591406250E4,5.759965300E-2
1.593750000E4,6.476583202E-2
1.596093750E4,3.254058081E-2
1.598437500E4,4.949752803E-2
1.600781250E4,9.051165644E-2
1.603125000E4,1.227048682E-2
1.605468750E4,5.298233970E-2
1.607812500E4,6.417300689E-2
1.610156250E4,6.373535237E-2
1.612500000E4,4.113458924E-2
1.614843750E4,4.674201353E-2
1.617187500E4,4.916513464E-2
1.619531250E4,6.709652970E-2
1.621875000E4,1.089193847E-2
1.624218750E4,2.921592139E-2
1.626562500E4,7.084804417E-2
1.628906250E4,5.839361635E-2
1.631250000E4,2.135670672E-2
1.633593750E4,4.176948375E-2
1.635937500E4,1.174739382E-2
1.638281250E4,6.452790683E-2
1.640625000E4,4.023413873E-2
1.642968750E4,6.371370463E-2
1.645312500E4,4.814434235E-2
1.647656250E4,1.155604681E-1
1.650000000E4,5.163438078E-2
1.652343750E4,4.382358549E-2
1.654687500E4,5.526845676E-2
1.657031250E4,9.379635008E-2
1.659375000E4,6.089691003E-2
1.661718750E4,1.116211651E-1
1.664062500E4,3.664698537E-2
1.666406250E4,1.035653073E-1
1.668750000E4,1.234429478E-2
1.671093750E4,5.115935148E-2
1.673437500E4,6.833591150E-2
1.675781250E4,1.291609495E-2
1.678125000E4,8.240116308E-2
1.680468750E4,1.587954401E-2
1.682812500E4,3.635894032E-2
1.685156250E4,7.612512339E-2
1.687500000E4,4.703796074E-2
1.689843750E4,3.665525488E-2
1.692187500E4,6.789392407E-2
1.694531250E4,4.547530526E-2
1.696875000E4,4.187988473E-2
1.699218750E4,5.020460901E-2
1.701562500E4,3.367049972E-2
1.703906250E4,7.207749284E-2
1.706250000E4,4.512007513E-2
1.708593750E4,1.523954526E-2
1.710937500E4,6.615794444E-2
1.713281250E4,7.933095278E-2
1.715625000E4,2.416562302E-2
1.717968750E4,7.565549830E-2
1.720312500E4,4.863985948E-2
1.722656250E4,9.636112918E-2
1.725000000E4,3.654472359E-2
1.727343750E4,9.612850064E-2
1.729687500E4,1.599227319E-2
1.732031250E4,1.082374190E-1
1.734375000E4,1.060013619E-1
1.736718750E4,4.147257830E-2
1.739062500E4,1.377460515E-2
1.741406250E4,3.777064746E-2
1.743750000E4,4.127387553E-2
1.746093750E4,2.917976431E-2
1.748437500E4,5.483979922E-2
1.750781250E4,9.103393558E-3
1.753125000E4,6.974903362E-2
1.755468750E4,1.045273827E-1
1.757812500E4,1.004292565E-1
1.760156250E4,1.256548418E-1
1.762500000E4,5.135046665E-2
1.764843750E4,1.402091707E-1
1.767187500E4,7.931552603E-2
1.769531250E4,8.349402784E-2
1.771875000E4,7.449381278E-2
1.774218750E4,4.400011147E-2
1.776562500E4,2.045434255E-2
1.778906250E4,1.128155254E-1
