"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.301199862E0,4.721591473E-1,1.044402122E-1,2.810649872E-1
1.306199862E0,3.247992098E-1,1.643939018E-1,4.238691330E-1
1.311199862E0,1.044265032E-1,2.096228600E-1,5.102825165E-1
1.316199862E0,1.975663453E-1,8.667182922E-2,5.594692230E-1
1.321199862E0,8.070893586E-2,5.604600906E-2,4.174671173E-1
1.326199862E0,9.017615765E-2,-3.069829941E-2,3.626146317E-1
1.331199862E0,7.403505594E-2,-9.780454636E-2,2.219438553E-1
1.336199862E0,6.734085083E-2,-1.044716835E-1,1.026058197E-2
1.341199862E0,2.844359726E-2,-9.339714050E-2,-1.368379593E-1
1.346199862E0,-6.378351897E-2,-5.831718445E-2,-2.137155533E-1
1.351199862E0,-1.962738484E-1,6.972312927E-3,-2.371044159E-1
1.356199862E0,-2.764480412E-1,9.898138046E-2,-2.317171097E-1
1.361199862E0,-2.959353328E-1,1.466360092E-1,-1.595754623E-1
1.366199862E0,-2.904346585E-1,1.154117584E-1,-9.755897522E-2
1.371199862E0,-3.186736107E-1,1.174292564E-1,-7.028484344E-2
1.376199862E0,-3.731007874E-1,1.263833046E-1,-9.573078156E-2
1.381199862E0,-5.139098763E-1,1.590566635E-1,-1.468801498E-1
1.386199862E0,-6.236404777E-1,1.705374718E-1,-2.033300400E-1
1.391199862E0,-7.287552953E-1,1.955757141E-1,-2.286739349E-1
1.396199862E0,-7.611926198E-1,2.187733650E-1,-2.267131805E-1
1.401199862E0,-7.547972798E-1,1.755003929E-1,-2.270202637E-1
1.406199862E0,-7.171536088E-1,1.318402290E-1,-2.203779221E-1
1.411199862E0,-6.695948839E-1,8.845376968E-2,-2.380580902E-1
1.416199862E0,-5.827924609E-1,1.897621155E-2,-1.999750137E-1
1.421199862E0,-4.910281897E-1,-6.223011017E-2,-1.390600204E-1
1.426199862E0,-3.869901896E-1,-1.190919876E-1,-7.972335815E-2
1.431199862E0,-3.478711843E-1,-1.437458992E-1,-3.312683105E-2
1.436199862E0,-3.170825243E-1,-1.452364922E-1,2.279472351E-2
1.441199862E0,-3.411657214E-1,-1.172394753E-1,4.539203644E-2
1.446199862E0,-3.643430471E-1,-8.841276169E-2,6.395816803E-2
1.451199862E0,-3.843807578E-1,-7.033729553E-2,1.362819672E-1
